allan,allan,Adv,Adv,126
iawn,iawn,Adv,Adv,101
heno,heno,Adv,Adv,14
eto,eto,Adv,Adv,114
mor,mor,Adv,Adv,160
unwaith,unwaith,Adv,Adv,39
ie,ie,Adv,Adv,30
yna,yn,Adv,Adv,63
dacw,dacw,Adv,Adv,9
felly,felly,Adv,Adv,117
pa,pa,Adv,Adv,69
nis,nis,Adv,Adv,29
rhy,rhoi,Adv,Adv,10
ymaith,ymaith,Adv,Adv,31
hefyd,hefyd,Adv,Adv,119
lan,lan,Adv,Adv,17
yno,yn,Adv,Adv,189
fron,bron,Adv,Adv,3
erioed,erioed,Adv,Adv,79
bur,pur,Adv,Adv,23
drachefn,drachefn,Adv,Adv,26
yma,yma,Adv,Adv,201
gartref,gartref,Adv,Adv,15
'm,dim,Adv,Adv,97
paham,paham,Adv,Adv,8
thrachefn,trachefn,Adv,Adv,2
mwyach,mwyach,Adv,Adv,2
rhy,rhy,Adv,Adv,23
eisoes,eisoes,Adv,Adv,9
mha,pa,Adv,Adv,5
fyny,fyny,Adv,Adv,62
ill,ill,Adv,Adv,10
pha,pa,Adv,Adv,3
na,dyna,Adv,Adv,58
pur,pur,Adv,Adv,3
byth,byth,Adv,Adv,83
ddim,dim,Adv,Adv,164
hytrach,hytrach,Adv,Adv,11
fyth,byth,Adv,Adv,16
mron,bron,Adv,Adv,7
uwchlaw,uwchlaw,Adv,Adv,5
ynghyd,ynghyd,Adv,Adv,16
ddoe,ddoe,Adv,Adv,9
dyna,dyna,Adv,Adv,53
bellach,pell,Adv,Adv,28
weithiau,gwaith,Adv,Adv,4
for,mor,Adv,Adv,1
efallai,efallai,Adv,Adv,3
ba,pa,Adv,Adv,6
dim,dim,Adv,Adv,24
drosodd,tros,Adv,Adv,4
beunydd,beunydd,Adv,Adv,9
fry,fry,Adv,Adv,16
ffwrdd,ffwrdd,Adv,Adv,5
nawr,nawr,Adv,Adv,2
wedyn,wedyn,Adv,Adv,120
lawr,llawr,Adv,Adv,10
dyma,dyma,Adv,Adv,97
bo,po,Adv,Adv,16
bron,bron,Adv,Adv,2
draw,draw,Adv,Adv,34
adre,adre,Adv,Adv,50
y'mlaen,ymlaen,Adv,Adv,1
mlaen,ymlaen,Adv,Adv,7
adref,adref,Adv,Adv,46
ychwaith,ychwaith,Adv,Adv,21
yna,yna,Adv,Adv,2
rioed,erioed,Adv,Adv,42
taran,taran,Adv,Adv,5
naddo,naddo,Adv,Adv,4
ymlaen,ymlaen,Adv,Adv,41
ymhell,ymhell,Adv,Adv,22
go,go,Adv,Adv,27
weithiau,weithiau,Adv,Adv,7
pam,pam,Adv,Adv,22
chwaith,chwaith,Adv,Adv,22
ma,ma,Adv,Adv,1
mo,mo,Adv,Adv,39
wastad,gwastad,Adv,Adv,5
obry,obry,Adv,Adv,1
gwedy,gwedi,Adv,Adv,7
bronn,bron,Adv,Adv,1
tharan,taran,Adv,Adv,2
ry,rhy,Adv,Adv,2
wedy,wedi,Adv,Adv,1
wan,rŵan,Adv,Adv,7
fo,mo,Adv,Adv,88
fory,fory,Adv,Adv,7
byth,pyth,Adv,Adv,15
mham,pam,Adv,Adv,1
fant,bant,Adv,Adv,1
trosodd,tros,Adv,Adv,1
acw,acw,Adv,Adv,29
uchod,uchod,Adv,Adv,2
isod,isod,Adv,Adv,1
ddichon,dichon,Adv,Adv,2
braidd,braidd,Adv,Adv,28
rwan,rŵan,Adv,Adv,60
yfory,yfory,Adv,Adv,7
islaw,islaw,Adv,Adv,3
eilwaith,eilwaith,Adv,Adv,4
eitha,eithaf,Adv,Adv,7
pham,pam,Adv,Adv,1
wedi,gwedi,Adv,Adv,69
rhawg,rhawg,Adv,Adv,2
cyn,cyn,Adv,Adv,14
ia,ia,Adv,Adv,9
ynghynt,ynghynt,Adv,Adv,5
ddwyweth,dwywaith,Adv,Adv,1
rywsut,rhywsut,Adv,Adv,13
ymhellach,pell,Adv,Adv,6
unweth,unwaith,Adv,Adv,24
'ma,yma,Adv,Adv,3
nage,nage,Adv,Adv,10
ymhobman,ymhobman,Adv,Adv,3
olreit,olreit,Adv,Adv,3
chyn,cyn,Adv,Adv,2
tybed,tybed,Adv,Adv,8
weithie,weithiau,Adv,Adv,13
ffrwt,ffrwt,Adv,Adv,1
yrŵan,yrŵan,Adv,Adv,2
echdoe,echdoe,Adv,Adv,4
rywbryd,rhywbryd,Adv,Adv,1
daran,taran,Adv,Adv,1
drachefn,trachefn,Adv,Adv,1
hyna,yna,Adv,Adv,1
ynghwsg,ynghwsg,Adv,Adv,2
llynedd,llynedd,Adv,Adv,2
dwywaith,dwywaith,Adv,Adv,1
pho,po,Adv,Adv,1
sobr,sobr,Adv,Adv,2
ymhleth,ymhleth,Adv,Adv,1
'na,yna,Adv,Adv,1
eleni,eleni,Adv,Adv,1
ddwywaith,dwywaith,Adv,Adv,1
